,date_group,time_group,기온(°C),누적강수량(mm),풍속(m/s)
147,23일,08시,20.211666666666655,0.0,2.71
148,23일,09시,20.793333333333326,0.0,2.6799999999999997
149,23일,10시,21.33833333333333,0.0,3.478333333333334
150,23일,11시,21.436666666666653,0.0,5.4916666666666645
151,23일,12시,21.271666666666672,0.0,5.216666666666669
152,23일,13시,20.55666666666666,0.0,4.673333333333334
153,23일,14시,20.584999999999997,0.0,4.403333333333333
154,23일,15시,20.531666666666677,0.0,2.9400000000000004
155,23일,16시,20.36999999999999,0.0,3.4199999999999986
156,23일,17시,20.04333333333334,0.0,2.805
157,23일,18시,20.178333333333352,0.0,2.9266666666666676
158,23일,19시,20.70166666666668,0.0,4.151666666666666
159,23일,20시,20.938333333333336,0.0,3.3800000000000012
160,23일,21시,20.64,0.11666666666666664,3.45
161,23일,22시,19.760000000000023,0.6000000000000008,1.5433333333333332
162,24일,05시,19.78999999999998,2.299999999999999,4.9066666666666645
163,24일,06시,19.801666666666645,2.299999999999999,5.320000000000001
164,24일,07시,19.865,2.299999999999999,4.713333333333334
165,24일,08시,20.061666666666664,2.299999999999999,3.8583333333333334
166,24일,09시,20.423333333333332,2.299999999999999,3.9966666666666666
167,24일,10시,20.624999999999993,2.299999999999999,3.4283333333333332
168,24일,11시,20.526666666666678,2.299999999999999,3.695
169,24일,12시,20.753333333333334,2.299999999999999,2.6250000000000004
170,24일,13시,21.345000000000006,2.299999999999999,2.525
171,24일,14시,21.58833333333333,2.299999999999999,3.255
172,24일,15시,21.793333333333333,2.299999999999999,3.6016666666666675
173,24일,16시,21.553333333333338,2.299999999999999,2.681666666666667
174,24일,17시,21.096666666666682,2.299999999999999,2.233333333333334
175,24일,18시,20.920000000000005,2.299999999999999,2.565
176,24일,19시,20.49333333333334,2.299999999999999,2.7533333333333334
177,24일,20시,20.313333333333336,2.299999999999999,2.85
178,24일,21시,20.178333333333338,2.299999999999999,2.243333333333334
179,24일,22시,19.791666666666668,2.299999999999999,1.1933333333333336
180,25일,05시,17.069999999999997,0.0,2.4350000000000005
181,25일,06시,16.98499999999999,0.0,1.8716666666666664
182,25일,07시,17.52500000000001,0.0,1.7566666666666668
183,25일,08시,19.455000000000002,0.0,1.7766666666666673
184,25일,09시,22.063333333333333,0.0,1.7500000000000004
185,25일,10시,22.796666666666667,0.0,2.8883333333333323
186,25일,11시,22.883333333333326,0.0,3.316666666666666
187,25일,12시,22.713333333333342,0.0,2.936666666666666
188,25일,13시,22.733333333333338,0.0,3.4733333333333336
189,25일,14시,22.896666666666672,0.0,3.135
190,25일,15시,22.36333333333334,0.0,3.169999999999999
191,25일,16시,21.388333333333343,0.0,3.305000000000001
192,25일,17시,20.571666666666676,0.0,2.625000000000001
193,25일,18시,20.478333333333346,0.0,2.7066666666666666
194,25일,19시,20.191666666666677,0.0,2.513333333333333
195,25일,20시,19.96,0.0,2.265000000000001
196,25일,21시,19.76000000000001,0.0,2.668333333333335
197,25일,22시,19.523333333333348,0.0,2.771666666666667
198,26일,05시,16.696666666666676,0.0,4.248333333333333
199,26일,06시,16.34166666666666,0.0,4.378333333333334
200,26일,07시,16.165000000000017,0.0,4.393333333333333
201,26일,08시,16.346666666666653,0.0,4.073333333333334
202,26일,09시,16.755000000000006,0.0,3.835000000000001
203,26일,10시,16.901666666666674,0.0,3.958333333333334
204,26일,11시,17.15333333333333,0.0,5.101666666666665
205,26일,12시,17.225,0.0,4.611666666666667
206,26일,13시,16.791666666666675,0.0,4.724999999999999
207,26일,14시,16.711666666666662,0.0,4.458333333333334
